id,device_id,ts,activity,pp1,pp2,pp3,,participant,recipient,sender,Temperature
378,3618,2024-08-31T07:16:48,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",15.3125
379,3606,2024-08-31T07:48:03,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.0
380,3618,2024-08-31T08:15:53,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.125
381,3606,2024-08-31T08:48:33,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.8125
382,3618,2024-08-31T09:15:21,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",28.3125
383,3618,2024-08-31T10:14:54,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",36.0
384,3606,2024-08-31T10:47:56,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.375
385,3618,2024-08-31T11:14:17,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",29.1875
386,3606,2024-08-31T12:04:38,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.875
387,3618,2024-08-31T12:13:07,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",27.75
388,3606,2024-08-31T13:03:29,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.625
389,3618,2024-08-31T13:12:07,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",27.3125
390,3618,2024-08-31T14:11:06,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",25.9375
391,3606,2024-08-31T14:58:03,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",25.3125
392,3618,2024-08-31T15:10:12,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",26.1875
393,3606,2024-08-31T15:55:20,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",26.1875
394,3618,2024-08-31T16:09:20,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",25.75
